Restoran_name,name,rating,review
Hong Kong Restaurant,Patrick Christopher Panggabean,4.0,"Best mee hokkien ive tasted in mks, a bit pricy but definitely worth it. Crispy pig belly with sambal matah is too dry for my taste."
Hong Kong Restaurant,Elisabeth,4.0,This is a very delicious chinnese food...But You have to booked and order first in order to get the food fastest
Hong Kong Restaurant,nisa putri,5.0,"Love the food and place, but sometimes hard to looking parking lot for."
Hong Kong Restaurant,aryanto sultanry,3.0,"This is not a halal restaurant. It serves chinese food. The taste is good, the cleanliness is good, but the waiter is a bit confused with the orders. Hopefully feedback, training or replacement can solve this."
Hong Kong Restaurant,Inggrid Lee,5.0,Very delicious food. This place has been there for years and very well known about the chinese food taste. Very variable menus 👍🏻 Suitable for family lunch or dinner. Less parking lot
Hong Kong Restaurant,Faddy Kue,1.0,"The black pepper beef was unbelievable, it didn't taste like black pepper and the meat were severely over cooked. Ordered Ee Fu noodle but regular egg noodle was served. HongKong fried rice is actually regular Makassar style red fried rice, besides adding Chinese sausages, there ain't anything HongKong about it. Salted egg french beans - didn't taste any salted eggs. Fried fish fillet - barely edible because it smells a little bad, probably not fresh at all! Price is way too expensive for such quality. There are way better food elsewhere!"
Hong Kong Restaurant,Robert Lee Veda,3.0,"The place n the taste are good, but the pricing is a little bit expensive. The less thing is the park space for the cars. Hard to find parking space if driving a car"
Hong Kong Restaurant,PETER GOZAL,5.0,This is the best chinese rest in town. Should try the “babihong” and “babi tore” very delicious
Hong Kong Restaurant,Arun Rewa,4.0,ok
Hong Kong Restaurant,Jane Angran,4.0,Tried their vegetarian menu here. I like their vege fried rice. It's not too spicy and not too oily.
Hong Kong Restaurant,William Trisina,5.0,very suitable for family gathering especially if you looking for non halal food
Hong Kong Restaurant,Ronald Losari,5.0,Very recomended chinese food resto in makassar. Must Try.
Hong Kong Restaurant,Andry Sp,5.0,"Delicious Chines Food @ makassar , must try"
Hong Kong Restaurant,Sisilia Ika,5.0,"This restorant favorite foods... because the taste it's very delicious, fresh, and the room it's very clean😋😋😋😋😋"
Hong Kong Restaurant,Agnes Gosali,3.0,Expensive but the food isn't very good. 3 stars because i wasn't the one who payed
Hong Kong Restaurant,Teddy Han,5.0,The best chinese food in MAKASSAR.
Hong Kong Restaurant,Inez Koe,3.0,The food is inconsistent. It was really good one time and it was really bad the next time.
Hong Kong Restaurant,corry michelle,5.0,"had family dinner here, food taste was tasty but phone signal was very very bad, got no line."
Hong Kong Restaurant,Harmesh Nanwani,5.0,"Good food, clean place"
Hong Kong Restaurant,Judi Setiawan,5.0,Best chinese food in town
Hong Kong Restaurant,Robin Jao,5.0,"Nice restaurant, delicious food. Sorry not for muslim"
Hong Kong Restaurant,Foryu Fillmorems,1.0,"When you are in Makassar, you should try to taste the menu of this restouran......)"
Hong Kong Restaurant,Bryan Wong,5.0,Best chinese food in Makassar
Hong Kong Restaurant,Lily Sri Ratna Purnama,5.0,"Local favorite for Chinese cuisine, try the steamed chicken Hainan style"
Hong Kong Restaurant,ferry wijaya,5.0,Excellent food. Nice and Clean room.
Hong Kong Restaurant,hoshi's tiger,5.0,There was people doing the lion dance. It was nice.
Hong Kong Restaurant,Ary Chandra,5.0,Nice and havenly taste lot of foods
Hong Kong Restaurant,Willy F.Taneh,5.0,their speciality is Nyuknyang ( pork meat ball ).
Hong Kong Restaurant,Ester Hartiono,4.0,Good food but pricey
Hong Kong Restaurant,Andre Yo,5.0,The best
RM. Pallu Kaloa 1,Wynne Wijaya,2.0,The taste is average. Poor customer service. You have to actively ask for the food to be served or else they kinda just ignore you :(I'd rather go to the one next door. :)
RM. Pallu Kaloa 1,Huda Arifin,5.0,Fish Soup is great very tasty and does not smell that fishy. You can combine both soup and Fried Fish Egg and Fried Squid waaaassss theew best. Very good. But a little bit pricy. I spent 200k for 3 person.
RM. Pallu Kaloa 1,Wiratri Rahmawerdani,5.0,"For fish lover, it will be a good alternative to visit when you are in Makassar. So fresh, so juicy. The passion fruit will be a good drink also."
RM. Pallu Kaloa 1,Saiful Anam,5.0,Should and Must try when you are at Makassar. I started love eating fish soon after I visited this resto. The Sop Kepala Ikan is the main...it's awesome
RM. Pallu Kaloa 1,Nura Sombolinggi,5.0,"Taste so geewwdd 😁 but quite pricey, i mean literally pricey, we spent 398k for 5 people... it easy to be accessed from main street."
RM. Pallu Kaloa 1,michael theos,4.0,"Unique taste, however the food is cold"
RM. Pallu Kaloa 1,Irawan Chandra,5.0,You have not been to Makassar if you don't eat in Pallu Kaloa
RM. Pallu Kaloa 1,Arifin Yebbo,3.0,The best main food for lunch n dinner. Menu traditional unique sea food in Makassar South Celebes.
RM. Pallu Kaloa 1,M. Alfat Caesar Fatir,5.0,good restaurant with traditional Makassar food which is very typical and quality is maintained
RM. Pallu Kaloa 1,Muhammad Akbar Pupir,5.0,The Best Pallu Kaloa In Town and the Acar Telur Ikan Is So Delicious
RM. Pallu Kaloa 1,Readi Noor,5.0,Must visit in day-1 when I go to Makassar
RM. Pallu Kaloa 1,Gunadi Kr,5.0,"They served fish dish, from fish egg to fish head. Overall Its taste nice"
RM. Pallu Kaloa 1,Irya Mayasasmitha,5.0,The best laaahhh...
RM. Pallu Kaloa 1,andrymks,4.0,Nice traditional food of Makassar. Fish with fresh and light soup.
RM. Pallu Kaloa 1,Muhammad Jibril Tajibu,5.0,table and chair arrangements need to be improved
RM. Pallu Kaloa 1,pu te',5.0,good
RM. Pallu Kaloa 1,adhyah Yusuf,4.0,"traditional fish food, original taste with tamarind soup"
RM. Pallu Kaloa 1,Lanny M. R.,4.0,Unique fish head soup...worth to try
RM. Pallu Kaloa 1,Iwank Jie,4.0,Menu pallu kaloanya recomended
RM. Pallu Kaloa 1,Hanif,4.0,Great taste of palu kallua served in here
RM. Pallu Kaloa 1,Iskandar Zulkarnain,5.0,"Makasar Traditional resto, special head of fish"
RM. Pallu Kaloa 1,Marikhar Muhammad,5.0,One of the recommended seafood restorant
RM. Pallu Kaloa 1,Ahmad Fadhlullah,5.0,wenae
RM. Pallu Kaloa 1,Handi,4.0,Liked it. Just not too comfy.
RM. Pallu Kaloa 1,Muhammad Hikmah,5.0,Yummy.. Very recommended
RM. Pallu Kaloa 1,Jhony Tanaka,5.0,Best Fish Soup at Makassar
RM. Pallu Kaloa 1,Chunni Jun,5.0,The fish soup is so juicy
RM. Pallu Kaloa 1,Amry Noor,5.0,One of the famous traditional food
RM. Pallu Kaloa 1,firefoni paonganan,5.0,recommended 😍😍😍
RM. Pallu Kaloa 1,Fernando GomuLya,5.0,love all Head Fish
Rumah Makan Patene,James A W,5.0,Traditional dish mixed between eest java and makassar peranakan. Nice for family but not for hang outer people. Now they also serving ice cream with great taste and good price
Rumah Makan Patene,Erwin Adianto,5.0,try their nasi campur. that was so good
Rumah Makan Patene,Stefanus Wihardja,3.0,"I had the ice cream here, very cheap 15 thousand for 4 scoops, but don't expect any good. Overall good place for simple lunch"
Rumah Makan Patene,Kevin Christian,4.0,"The food is very delicious and affordable. If you want to find authentic Indonesian food, it is very recommended."
Rumah Makan Patene,Adi Wijaya,5.0,"Delicious,.especially happy soda and oreo ice cream"
Rumah Makan Patene,Budi Hidayat,5.0,Eastern javanese foods available in Jl. Sulawesi makassar
Rumah Makan Patene,Arndt,3.0,I wasn't impressed with the food. And the fruit shake was very watery
Rumah Makan Patene,safriadi a muhammad,5.0,"Plenty of option for food, taste good, good price"
Rumah Makan Patene,Jessica Inez,5.0,I like it
Rumah Makan Patene,Doddy Amiruddin,4.0,The best Indonesian food served here
Rumah Makan Patene,Mr. Bingoku,5.0,my wife like food from rm.patene
Rumah Makan Patene,Michael Fridolin,3.0,Good food
Rumah Makan Patene,Imran Rosadi A,5.0,"So lezatos,,👍🏻😊"
Rumah Makan Patene,Yulius Jauwly,4.0,Vegetables not fresh
Rumah Makan Patene,Area D,5.0,"Cozy Place, Tasty Food"
Rumah Makan Patene,constantino toraja,1.0,Not my taste
Rumah Makan Patene,RAPID GOWA,4.0,Ok
Rumah Makan Patene,Andre Yo,5.0,Exists...
Rumah Makan Patene,Simon Sampetoding,5.0,Great service
Rumah Makan Patene,Ruliyanto Pahroen,2.0,Not recommended
Rumah Makan Patene,Suryady Lesmana,5.0,Legend
Rumah Makan Patene,Mamak Luna,4.0,"(Translated by Google) RM legend, which is located on Jl Sulawesi, offers many East Javanese menus with distinctive and delicious flavors. If you come here, you must try the Nasi Campur which is super complete with eggs, shredded meat, lungs, vegetables and rawon sauce. Do not forget to taste the salad cingur and fresh fruit ice. For prices that are still affordable, 20 thousand and above per portion. (Original) RM legend yang terletak di jl Sulawesi ini menawarkan banyak menu jawa timur dengan citarasa khas dan enak. Kalau kesini wajib coba Nasi Campurnya yang super komplit dengan telur, abon, paru, sayur serta kuah rawon. Tak lupa cicipi rujak cingur dan es buahnya yang segar. Untuk harga masih terjangkau 20ribuan keatas perporsi."
Rumah Makan Patene,Astried Marini,5.0,"(Translated by Google) It's much cleaner, cooler, now it's equipped with a glass door so that vehicle dust doesn't get inside anymore. Still the hodgepodge and mixed rice are favorites (Original) Sudah jauh lebih bersih, lebih sejuk, sekarang sudah dilengkapi dengan pintu kaca sehingga debu kendaraan tidak masuk lagi ke dalam. Tetap gado-gado dan nasi campurnya yang jadi favorit"
Rumah Makan Patene,jendry soejitno,5.0,"(Translated by Google) The food is all delicious.. the price is also cheap.. fried duck + coconut milk and jackfruit vegetables. Chicken fresh vegetables + lodeh and rawon vegetables are really delicious.. For those who travel and stay in this area, I really recommend eating here (Original) Makanan nya enak"" semua.. harganya juga murah.. bebek goreng + sayur santan nangka Ama ayam lalapan + sayur lodeh sma rawon nya enak bener.. Buat yg melancong trus nginap d daerah sini saya recommended banget buat makan di sini dehh😋"
Rumah Makan Patene,Sultan Traveler,3.0,(Translated by Google) I've only tried the mixed rice. Including delicious. But the price is also not cheap when compared to other places. (Original) Saya cuma cobain nasi campurnya. Termasuk enak. Tapi harganya juga gak murah kalo dibanding di tempat lain.
Rumah Makan Patene,Josef Latumahina,4.0,(Translated by Google) Right now it's not as good as it was a few dozen years ago (Original) Saat ini sudah tidak sesedap beberapa belas tahun lalu
Rumah Makan Patene,Ervina Noville,5.0,"(Translated by Google) If you miss grandpa, come eat here, rice mixed with pattene. Don't close it..... The restaurant is full of memories . If you have time, you want to eat at a place so that it feels even more like eating with Alm. oppa (Original) Klo kangen opa dtg makan disini nasi campur pattene. Jgn tutup yaa....., Rumah makan penuh kenangan . Klo ada waktu mau makan di tempat biar makin berasa makan sm alm. opa"
Rumah Makan Patene,Simon 69,1.0,"(Translated by Google) I ordered tail soup after waiting for a long time and finally it came not tasty and the meat was not cooked at all, very disappointed👎 (Original) Saya pesan sup buntut setelah lama menunggu akhirnya datang tidak enak dan belum matang daging nya sama sekali, sangat kecewa👎"
Rumah Makan Patene,Akbar Dewo,5.0,"(Translated by Google) From 1992 until now, the taste of the food has not changed. Moreover, the mixed rice and rice cake vegetables are really mandatory to use. (Original) Dari jaman 92 sampai sekarang, rasa masakannya tidak berubah. Apalagi nasi campur dan lontong sayurnya wiiihhh ajib pake banget."
Rumah Makan Patene,Inggrid Lee,5.0,"(Translated by Google) If it's a standard place, yes. But what's good is the food. I just tried tofu eggs. The seasoning is salty. So if you want, maybe ask for the spices to be separated and then mix it yourself. The mixed rice cake is delicious 👍🏻😊 (Original) Kalo tempatnya sih standar aja ya. Tapi yang enak itu makanannya. Tadi saya coba tahu telur. Bumbunya keasinan. Jadi kalo mau barangkali minta pisah bumbu nanti baru dicampur sendiri. Sama lontong campurnya enakkk 👍🏻😊"
RICH TASTE,Hardiwanto Yongkong,4.0,Good choice for healthy family sunday brunch. Food 4/5 Taste : Okay taste. Ingredients : Good ingredients. Halal : Yes. Price : Reasonable. Recommend Menu : Pocai bawang putih and Mapo Tofu. Ambience 4/5 Cozy : Yes. Instagrammable : No. Seats availability : Plenty. Wheelchair accessible : No. Service 4/5 Menu explanation : No. Table service : Good service. Serving time : Okay. Some food come at the same time.
RICH TASTE,Landing,5.0,very good restaurant，taste good
RICH TASTE,Yovita Ardiyani,5.0,"The food tastes very good. The place is a little bit crowded but the ambience is suitable for family dinner. The waiter is friendly to customer, very welcome with smile."
RICH TASTE,Anna Pawletta,5.0,"Very delicious, the owner is absolute friendly and all the employer’s around too. Please try the Tamarillo-Shake"
RICH TASTE,Marvel Ramli,5.0,The overall food taste amazing! The price is not quite expensive either. Perfect place to bring your family for dinner
RICH TASTE,Aries Laiman,5.0,Love the roast duck. Superb meal.
RICH TASTE,NaySela,5.0,Ok
RICH TASTE,Arifin Warouw,5.0,Top markotop deliciously recomended to those who like good food.😀
RICH TASTE,Mohammad Agus Bustami,3.0,Quiet place for gathering
RICH TASTE,Samuel Tjam,5.0,"Like it ..... Delicious food, nice atmosphere.... Nice decor"
RICH TASTE,Willy Hamdani,5.0,the food taste delicious but waiting too long.
RICH TASTE,黃安妮Agnes,5.0,The food is really good and the owner are friendly
RICH TASTE,Alexander Sentosa,5.0,Good place to have different taste of meals in town
RICH TASTE,Kurniawati D,4.0,Halal Chinese food restaurant. Good taste!
RICH TASTE,Kurniadi,5.0,cozy place and very friendly waitress
RICH TASTE,Natalia Tan,4.0,All foods is halal. Its taste average
RICH TASTE,Ho Suwandy,4.0,Chinese Food Halal
RICH TASTE,Adhiz Buana,3.0,Asian taste good with the wortied price...
RICH TASTE,Azhari MD MT,4.0,Good view for chinese food
RICH TASTE,Firah Omar,4.0,the food taste are worth the price
RICH TASTE,Yulius Jauwly,5.0,"Cozy atmosphere, good taste"
RICH TASTE,Jordan Toenger,5.0,Great place and cheap price of food
RICH TASTE,Kopral Jono,5.0,New Resto of chinese food in old town
RICH TASTE,Victor Johan,5.0,Good food good price
RICH TASTE,Ciciana Cynloui,3.0,"Food Ok, price Ok."
RICH TASTE,Adhi Francis Ciandra,5.0,Delicious food at cozy place
RICH TASTE,Fengky Kustanto,4.0,Good service n yummy
RICH TASTE,Jovita Alfonso,5.0,"Good place, delicious food"
RICH TASTE,fendy kunadi,5.0,have a good taste of many food
RICH TASTE,Mervianz,5.0,The food is delicious here
